prefix_id,group_line_id,dept_code_id,brand_line_code_id,brand_cls_code,brand_cls_name,status_id,created_on,created_by,updated_on,updated_by
10,131,,1,10001,ROCHER T'S,1,,,,
10,131,,1,10002,FERRERO COLLECTION,1,,,,
10,131,,1,10003,GRAND FERRERO ROCHER,1,,,,
10,131,,1,10004,GRAND ROCHER,1,,,,
10,131,,1,10005,ROCHER CHRISTMAS,1,,,,
10,131,,1,10006,GOLDEN GALLERY,1,,,,
10,131,,2,10007,RAFAELLO,1,,,,
10,131,,2,10008,RAFAELLO PROMO PACKS,1,,,,
10,131,,3,10009,KINDER BUENO,1,,,,
10,131,,3,10010,KINDER CHOCOLATES,1,,,,
10,131,,3,10011,KINDER COUNTRY,1,,,,
10,131,,3,10012,KINDER MAXI,1,,,,
10,131,,3,10013,KINDER SCHOKOBONS,1,,,,
10,131,,3,10014,KINDER JOY BOY T1,1,,,,
10,131,,3,10015,KINDER JOY BOY T3,1,,,,
10,131,,3,10016,KINDER JOY GIRL T1,1,,,,
10,131,,3,10017,KINDER JOY GIRL T3,1,,,,
10,131,,3,10018,KINDER SURPRISE,1,,,,
10,131,,3,10019,KINDER LOCAL PROMO PACK,1,,,,
10,131,,4,10020,NUTELLA B-READY,1,,,,
10,131,,4,10021,NUTELLA SPREAD,1,,,,
10,131,,4,10022,NUTELLA & GO,1,,,,
10,131,,4,10023,NUTELLA INDUSTRIAL PROMO PACK,1,,,,
10,131,,5,10024,TIC TAC,1,,,,
10,89,,10,10025,DAVIDOFF ONE ,1,,,,
10,89,,10,10026,DAVIDOFF SLIM ONE,1,,,,
10,131,,5,10027,TIC TAC GUM,1,,,,
10,89,,6,10028,DAVIDOFF CLASSIC,1,,,,
10,89,,6,10029,DAVIDOFF ULTRA,1,,,,
10,89,,6,10030,DAVIDOFF BLACK,1,,,,
10,89,,6,10031,DAVIDOFF WHITE,1,,,,
10,89,,6,10032,DAVIDOFF SILVER,1,,,,
10,89,,11,10033,DAVIDOFF LIGHTS,1,,,,
10,89,,11,10034,DAVIDOFF LIGHTS SLIM,1,,,,
10,89,,12,10035,DAVIDOFF TOUCH BLUE,1,,,,
10,89,,12,10036,DAVIDOFF TOUCH ORANGE,1,,,,
10,89,,13,10037,DAVIDOFF SUPERSLIM VIOLET,1,,,,
10,89,,13,10038,DAVIDOFF SUPERSLIM WHITE,1,,,,
10,141,,7,10039,GAULOISES YELLOW,1,,,,
10,141,,7,10040,GAULOISES RED,1,,,,
10,141,,7,10041,GAULOISES BLUE,1,,,,
10,141,,14,10042,GAULOISES BLONDES REGULAR,1,,,,
10,141,,14,10043,GAULOISES BLONDES ULTRA,1,,,,
10,360,,9,10044,WEST SILVER,1,,,,
10,360,,9,10045,WEST RED,1,,,,
10,360,,9,10046,WEST BLUE,1,,,,
10,141,,14,10047,GAULOISES BLONDES WHITE,1,,,,
10,97,,15,10048,DIOR ADDICT,1,,,,
10,97,,15,10049,DIOR ADDICT2,1,,,,
10,97,,15,10050,DIOR ADDICT EAU FRAICHE,1,,,,
10,97,,16,10051,DIOR HOMME,1,,,,
10,97,,16,10052,DIOR HOMME INTENSE,1,,,,
10,97,,16,10053,DIOR HOMME SPORT,1,,,,
10,97,,17,10054,DIORELLA,1,,,,
10,97,,18,10055,DIORISSIMO,1,,,,
