description,created_by,created_on,updated_on,updated_by,mnemonic,status_id
BLACK,1,12/13/2018,12/13/2018,1,BLK,1
WHITE,1,12/13/2018,12/13/2018,1,WHT,1
RED,1,12/13/2018,12/13/2018,1,RED,1
BLUE,1,12/13/2018,12/13/2018,1,BLU,1
YELLOW,1,12/13/2018,12/13/2018,1,YEL,1
BROWN,1,12/13/2018,12/13/2018,1,BRN,1
PINK,1,12/13/2018,12/13/2018,1,PIN,1
VIOLET,1,12/13/2018,12/13/2018,1,VIO,1
GREEN,1,12/13/2018,12/13/2018,1,GRN,1
ORANGE,1,12/13/2018,12/13/2018,1,ORA,1
GRAY,1,12/13/2018,12/13/2018,1,GRY,1
GENERAL,1,12/13/2018,12/13/2018,1,GEN,1
