mnemonic,description,status_id,created_on,created_by,updated_on,updated_by
GEN,GENERAL,1,12/19/2018,1,12/19/2018,1
SML,SMALL,1,12/19/2018,1,12/19/2018,1
MED,MEDIUM,1,12/19/2018,1,12/19/2018,1
LAR,LARGE,1,12/19/2018,1,12/19/2018,1
XL,EXTRA LARGE,1,12/19/2018,1,12/19/2018,1
XXL,DOUBLE EXTRA LARGE,1,12/19/2018,1,12/19/2018,1
30ML,30 ML,1,12/19/2018,1,12/19/2018,1
50ML,50 ML,1,12/19/2018,1,12/19/2018,1
75ML,75 ML,1,12/19/2018,1,12/19/2018,1
100ML,100 ML,1,12/19/2018,1,12/19/2018,1
125ML,125 ML,1,12/19/2018,1,12/19/2018,1
