dept_code_id,prefix,prefix_name,created_on,created_by,updated_on,updated_by,current_year_serial_key,previous_year_serial_key,prefix_key
1,SRN,STOCK REQUEST,12/17/2018,1,12/25/2018,1,19100000,,SRN
2,SRN,STOCK REQUEST,12/25/2018,1,12/25/2018,1,19200000,,SRN
3,SRN,STOCK REQUEST,12/25/2018,1,12/25/2018,1,19300000,,SRN
4,SRN,STOCK REQUEST,12/25/2018,1,12/25/2018,1,19400000,,SRN
5,SRN,STOCK REQUEST,12/25/2018,1,12/25/2018,1,19500000,,SRN
6,SRN,STOCK REQUEST,12/25/2018,1,12/25/2018,1,19600000,,SRN
7,SRN,STOCK REQUEST,12/25/2018,1,12/25/2018,1,19700000,,SRN
1,STV,STOCK TRANSFER,12/25/2018,1,12/25/2018,1,19100000,,STV
2,STV,STOCK TRANSFER,12/25/2018,1,12/25/2018,1,19200000,,STV
3,STV,STOCK TRANSFER,12/25/2018,1,12/25/2018,1,19300000,,STV
4,STV,STOCK TRANSFER,12/25/2018,1,12/25/2018,1,19400000,,STV
5,STV,STOCK TRANSFER,12/25/2018,1,12/25/2018,1,19500000,,STV
6,STV,STOCK TRANSFER,12/25/2018,1,12/25/2018,1,19600000,,STV
7,STV,STOCK TRANSFER,12/25/2018,1,12/25/2018,1,19700000,,STV
1,SRC,STOCK RECEIPT,12/25/2018,1,12/25/2018,1,19100000,,SRC
2,SRC,STOCK RECEIPT,12/25/2018,1,12/25/2018,1,19200000,,SRC
3,SRC,STOCK RECEIPT,12/25/2018,1,12/25/2018,1,19300000,,SRC
4,SRC,STOCK RECEIPT,12/25/2018,1,12/25/2018,1,19400000,,SRC
5,SRC,STOCK RECEIPT,12/25/2018,1,12/25/2018,1,19500000,,SRC
6,SRC,STOCK RECEIPT,12/25/2018,1,12/25/2018,1,19600000,,SRC
7,SRC,STOCK RECEIPT,12/25/2018,1,12/25/2018,1,19700000,,SRC
1,ADJ,STOCK ADJUSTMENT,12/25/2018,1,12/25/2018,1,19100000,,ADJ
2,ADJ,STOCK ADJUSTMENT,12/25/2018,1,12/25/2018,1,19200000,,ADJ
3,ADJ,STOCK ADJUSTMENT,12/25/2018,1,12/25/2018,1,19300000,,ADJ
4,ADJ,STOCK ADJUSTMENT,12/25/2018,1,12/25/2018,1,19400000,,ADJ
5,ADJ,STOCK ADJUSTMENT,12/25/2018,1,12/25/2018,1,19500000,,ADJ
6,ADJ,STOCK ADJUSTMENT,12/25/2018,1,12/25/2018,1,19600000,,ADJ
7,ADJ,STOCK ADJUSTMENT,12/25/2018,1,12/25/2018,1,19700000,,ADJ
1,SOR,SALES ORDER,12/25/2018,1,12/25/2018,1,19100000,,SOR
